EmployeeId,AttendanceDate,CheckIn,CheckOut
MADT,09/06/2017,08:54:52,17:59:59
MADT,10/06/2017,00:00,00:00
MADT,11/06/2017,00:00,00:00
MADT,12/06/2017,08:48:33,18:30:05
MADT,13/06/2017,08:46:49,17:56:02
MADT,14/06/2017,09:21:19,18:05:36
MADT,15/06/2017,00:00,00:00
MADT,16/06/2017,00:00,00:00
MADT,17/06/2017,00:00,00:00
MADT,18/06/2017,00:00,00:00
MADT,19/06/2017,09:20:47,18:08:34
MADT,20/06/2017,08:52:32,18:03:49
MADT,21/06/2017,08:39:05,18:10:53
MADT,22/06/2017,09:07:25,18:16:11
MADT,23/06/2017,09:39:04,18:26:12
MADT,24/06/2017,00:00,00:00
MADT,25/06/2017,00:00,00:00
MADT,26/06/2017,00:00,00:00
MADT,27/06/2017,09:09:52,17:54:04
MADT,28/06/2017,09:20:58,18:13:50
MADT,29/06/2017,08:58:28,18:08:24
MADT,30/06/2017,00:00,00:00
MASI,01/06/2017,11:08:21,19:50:22
MASI,02/06/2017,00:00,00:00
MASI,03/06/2017,00:00,00:00
MASI,04/06/2017,00:00,00:00
MASI,05/06/2017,00:00,00:00
MASI,06/06/2017,00:00,00:00
MASI,07/06/2017,00:00,00:00
MASI,08/06/2017,00:00,00:00
MASI,09/06/2017,00:00,00:00
MASI,10/06/2017,00:00,00:00
MASI,11/06/2017,00:00,00:00
MASI,12/06/2017,10:41:09,20:42:10
MASI,13/06/2017,10:54:55,20:51:13
MASI,14/06/2017,10:56:39,20:36:48
MASI,15/06/2017,10:51:48,19:35:41
MASI,16/06/2017,11:35:55,18:53:38
MASI,17/06/2017,00:00,00:00
MASI,18/06/2017,00:00,00:00
MASI,19/06/2017,10:34:10,20:06:31
MASI,20/06/2017,10:43:35,20:32:46
MASI,21/06/2017,10:41:07,00:00
MASI,22/06/2017,10:41:52,00:00
MASI,23/06/2017,10:36:07,20:48:43
MASI,24/06/2017,00:00,00:00
MASI,25/06/2017,00:00,00:00
MASI,26/06/2017,10:41:04,20:30:56
MASI,27/06/2017,10:29:15,20:18:52
MASI,28/06/2017,11:22:29,21:23:50
MASI,29/06/2017,11:06:17,20:46:49
MASI,30/06/2017,10:53:00,20:44:00
SUBI,01/06/2017,10:00:51,18:57:59
SUBI,02/06/2017,00:00,00:00
SUBI,03/06/2017,00:00,00:00
SUBI,04/06/2017,00:00,00:00
SUBI,05/06/2017,09:51:22,19:12:04
SUBI,06/06/2017,10:03:16,19:21:45
SUBI,07/06/2017,09:48:45,19:08:54
SUBI,08/06/2017,09:51:37,18:40:47
SUBI,09/06/2017,09:46:51,18:39:27
SUBI,10/06/2017,00:00,00:00
SUBI,11/06/2017,00:00,00:00
SUBI,12/06/2017,09:47:34,19:07:56
SUBI,13/06/2017,09:51:50,19:07:33
SUBI,14/06/2017,09:40:46,18:51:07
SUBI,15/06/2017,09:49:24,19:03:21
SUBI,16/06/2017,09:41:26,19:07:52
SUBI,17/06/2017,00:00,00:00
SUBI,18/06/2017,00:00,00:00
SUBI,19/06/2017,09:51:44,19:09:36
SUBI,20/06/2017,09:59:06,19:11:09
SUBI,21/06/2017,09:50:36,19:14:52
SUBI,22/06/2017,09:52:14,18:58:47
SUBI,23/06/2017,11:16:22,19:05:55
SUBI,24/06/2017,00:00,00:00
SUBI,25/06/2017,00:00,00:00
SUBI,26/06/2017,00:00,00:00
SUBI,27/06/2017,09:48:12,19:02:41
SUBI,28/06/2017,09:54:00,19:12:10
SUBI,29/06/2017,09:51:36,17:50:11
SUBI,30/06/2017,09:55:37,18:56:18
NIBA,01/06/2017,10:23:49,20:18:23
NIBA,02/06/2017,00:00,00:00
NIBA,03/06/2017,00:00,00:00
NIBA,04/06/2017,00:00,00:00
NIBA,05/06/2017,10:37:36,20:00:13
NIBA,06/06/2017,10:07:16,20:02:34
NIBA,07/06/2017,10:20:23,19:46:55
NIBA,08/06/2017,10:24:47,19:34:59
NIBA,09/06/2017,09:59:53,19:52:28
NIBA,10/06/2017,00:00,00:00
NIBA,11/06/2017,00:00,00:00
NIBA,12/06/2017,10:19:46,20:45:54
NIBA,13/06/2017,10:07:40,20:32:19
NIBA,14/06/2017,10:19:32,20:01:19
NIBA,15/06/2017,10:17:24,19:03:38
NIBA,16/06/2017,00:00,00:00
NIBA,17/06/2017,00:00,00:00
NIBA,18/06/2017,00:00,00:00
NIBA,19/06/2017,10:18:33,19:43:53
NIBA,20/06/2017,10:07:15,19:09:06
NIBA,21/06/2017,10:12:53,19:41:57
NIBA,22/06/2017,10:51:13,19:37:30
NIBA,23/06/2017,10:07:02,19:25:00
NIBA,24/06/2017,00:00,00:00
NIBA,25/06/2017,00:00,00:00
NIBA,26/06/2017,00:00,00:00
NIBA,27/06/2017,10:06:26,19:29:21
NIBA,28/06/2017,19:57:10,00:00
NIBA,29/06/2017,21:07:58,00:00
NIBA,30/06/2017,10:06:19,19:16:20
RAOM,01/06/2017,15:10:23,22:15:57
RAOM,02/06/2017,07:35:57,00:00
RAOM,03/06/2017,00:00,00:00
RAOM,04/06/2017,00:00,00:00
RAOM,05/06/2017,00:00,00:00
RAOM,06/06/2017,14:47:53,23:40:13
RAOM,07/06/2017,15:08:28,23:43:22
RAOM,08/06/2017,15:26:07,23:34:55
RAOM,09/06/2017,15:16:06,23:34:14
RAOM,10/06/2017,00:00,00:00
RAOM,11/06/2017,00:00,00:00
RAOM,12/06/2017,14:48:02,22:04:21
RAOM,13/06/2017,14:52:00,23:32:11
RAOM,14/06/2017,14:58:44,23:40:21
RAOM,15/06/2017,14:47:01,23:38:36
RAOM,16/06/2017,00:00,00:00
RAOM,17/06/2017,00:00,00:00
RAOM,18/06/2017,00:00,00:00
RAOM,19/06/2017,14:55:08,23:35:08
RAOM,20/06/2017,14:52:10,23:36:19
RAOM,21/06/2017,15:11:54,23:35:35
RAOM,22/06/2017,15:09:36,23:52:15
RAOM,23/06/2017,14:41:26,23:36:15
RAOM,24/06/2017,00:00,00:00
RAOM,25/06/2017,00:00,00:00
RAOM,26/06/2017,00:00,00:00
RAOM,27/06/2017,14:40:38,23:38:10
RAOM,28/06/2017,15:01:50,23:41:15
RAOM,29/06/2017,15:11:55,00:00
RAOM,30/06/2017,15:03:25,23:37:51
